,Anime Title,Score_reference,Score_reference2,Type,Episodes,Aired,Producers,Studios,Source,Genres,Score,Members,Favorites,Fav%,Source_reference,genre_reference_1,genre_reference_2,Season,Manga_score,Age
1231,Honobono Log,Medium,Bad,TV,10,"Jun 7, 2016 to Jun 18, 2016",NHK,Fanworks,Picture book,"Romance, Slice of Life",7.4,49481,237,0.479,0,20,18,2,6.85,4
1234,Jibaku-kun,Medium,Bad,TV,26,"Oct 5, 1999 to Mar 28, 2000",,Trans Arts,Manga,"Adventure, Fantasy, Comedy",7.4,10315,64,0.62,0,3,7,4,7.25,21
1235,Kaikan Phrase,Medium,Bad,TV,44,"Apr 20, 1999 to Mar 25, 2000","TV Tokyo, Shogakukan-Shueisha Productions",Studio Hibari,Manga,"Drama, Music, Romance, Shoujo",7.4,11036,118,1.069,0,5,28,2,7.17,21
1237,Karakurizoushi Ayatsuri Sakon,Medium,Bad,TV,26,"Oct 8, 1999 to Mar 31, 2000",WOWOW,TMS Entertainment,Manga,"Mystery, Horror, Thriller, Shounen",7.4,9396,52,0.553,0,15,29,4,7.81,21
1245,Black Cat (TV),Medium,Bad,TV,23,"Oct 7, 2005 to Mar 31, 2006","GDH, Dentsu, TBS, Sotsu Music Publishing",Gonzo,Manga,"Sci-Fi, Adventure, Comedy, Super Power, Shounen",7.39,224763,1921,0.855,0,10,3,4,7.81,15
1246,Blend S,Medium,Bad,TV,12,"Oct 8, 2017 to Dec 24, 2017","Aniplex, Houbunsha, Kansai Telecasting, Lawson, Contents Seed, Kinoshita Group Holdings, Drecom",A-1 Pictures,4-koma manga,"Slice of Life, Comedy",7.39,407420,2410,0.592,0,18,4,4,9.02,3
1248,Captain Tsubasa: Road to 2002,Medium,Bad,TV,52,"Oct 7, 2001 to Oct 6, 2002",TV Tokyo,"Madhouse,       Group TAC",Manga,"Action, Sports, Shounen",7.39,38678,213,0.551,0,1,23,4,7.49,19
1259,Nami yo Kiitekure,Medium,Bad,TV,12,"Apr 4, 2020 to Jun 20, 2020","Mainichi Broadcasting System, Kodansha, DMM pictures, DMM Music",Sunrise,Manga,"Comedy, Drama, Romance, Seinen",7.39,52087,97,0.186,0,4,5,2,7.12,0
1265,Sakigake!! Otokojuku,Medium,Bad,TV,34,"Feb 25, 1988 to Nov 14, 1988",Lantis,Toei Animation,Manga,"Action, Comedy, Martial Arts, School, Shounen",7.39,9544,76,0.796,0,1,4,1,8.12,32
1268,Sketchbook: Full Color's,Medium,Bad,TV,13,"Oct 2, 2007 to Dec 25, 2007","Media Factory, Shochiku, AT-X, TV Tokyo Music, TYO, Mag Garden",Hal Film Maker,4-koma manga,"Slice of Life, Comedy",7.39,24570,168,0.684,0,18,4,4,7.65,13
1269,Sora no Otoshimono,Medium,Bad,TV,13,"Oct 5, 2009 to Dec 28, 2009","Kadokawa Shoten, Kadokawa Pictures Japan, KlockWorx, NTT Docomo",AIC ASTA,Manga,"Sci-Fi, Harem, Comedy, Supernatural, Romance, Ecchi, Shounen",7.39,380187,3965,1.043,0,10,39,4,7.48,11
1275,Watashi ni Tenshi ga Maiorita!,Medium,Bad,TV,12,"Jan 8, 2019 to Mar 26, 2019","AT-X, flying DOG, Sony Music Communications, Kadokawa Media House, Ichijinsha, Kadokawa",Doga Kobo,4-koma manga,"Comedy, Shoujo Ai, Slice of Life",7.39,117044,1161,0.992,0,4,37,1,7.0,1
1278,Yokoyama Mitsuteru Sangokushi,Medium,Bad,TV,47,"Oct 18, 1991 to Sep 25, 1992","TV Tokyo, d-rights","Enoki Films,       Dai Nippon Printing",Manga,"Action, Adventure, Historical",7.39,4687,33,0.704,0,1,3,4,6.85,29
1281,Yuyushiki,Medium,Bad,TV,12,"Apr 10, 2013 to Jun 26, 2013","Geneon Universal Entertainment, Magic Capsule, Showgate, Houbunsha, Exit Tunes",Kinema Citrus,4-koma manga,"Slice of Life, Comedy, School, Seinen",7.39,85514,562,0.657,0,18,4,2,8.73,7
1289,Sankarea,Medium,Bad,TV,12,"Apr 6, 2012 to Jun 29, 2012","Lantis, Pony Canyon, TBS, Kodansha, BS-TBS",Studio Deen,Manga,"Comedy, Ecchi, Horror, Romance, Shounen, Supernatural",7.38,439257,1988,0.453,0,4,35,2,6.84,8
1307,Bartender,Medium,Bad,TV,11,"Oct 15, 2006 to Dec 31, 2006","Fuji TV, Sony Music Entertainment, Fujipacific Music, Atelier Musa, Fuji Creative",Palm Studio,Manga,"Drama, Seinen, Slice of Life",7.38,68701,414,0.603,0,5,17,4,6.99,14
1310,Dakaretai Otoko 1-i ni Odosarete Imasu.,Medium,Bad,TV,13,"Oct 6, 2018 to Dec 29, 2018","Aniplex, Movic, Libre, animate",CloverWorks,Manga,"Comedy, Drama, Romance, Shounen Ai",7.38,65097,1012,1.555,0,4,5,4,7.23,2
1313,Flanders no Inu,Medium,Bad,TV,52,"Jan 5, 1975 to Dec 28, 1975",,Nippon Animation,Novel,"Drama, Historical, Slice of Life",7.38,4939,13,0.263,0,5,11,1,6.6,45
1315,Kakegurui××,Medium,Bad,TV,12,"Jan 9, 2019 to Mar 27, 2019",Avex Pictures,MAPPA,Manga,"Drama, Game, Mystery, Psychological, School, Shounen",7.38,351448,1263,0.359,0,5,16,1,6.91,1
1316,"Kanojo, Okarishimasu",Medium,Bad,TV,12,"Jul 11, 2020 to Sep 26, 2020","Mainichi Broadcasting System, Kodansha, DMM pictures, DMM Music",TMS Entertainment,Manga,"Comedy, Romance, School, Shounen",7.38,313041,3711,1.185,0,4,20,3,8.35,0
1317,Kaze no Shoujo Emily,Medium,Bad,TV,26,"Apr 7, 2007 to Sep 29, 2007",NHK,TMS Entertainment,Novel,"Historical, Drama, Shoujo",7.38,5271,13,0.247,0,11,5,2,6.65,13
1321,Meitantei Holmes,Medium,Bad,TV,26,"Nov 6, 1984 to May 21, 1985",,"Gallop,       TMS Entertainment",Novel,"Action, Adventure, Mystery, Comedy, Police",7.38,8176,52,0.636,0,1,3,4,7.09,36
1326,Bokutachi wa Benkyou ga Dekinai!,Medium,Bad,TV,13,"Oct 6, 2019 to Dec 29, 2019","Aniplex, Movic, Magic Capsule, Shueisha, BS11, ADK","Silver,       Arvo Animation",Manga,"Harem, Comedy, Romance, School, Shounen",7.37,149434,514,0.344,0,39,4,4,7.32,1
1327,Busou Renkin,Medium,Bad,TV,26,"Oct 5, 2006 to Mar 29, 2007","Geneon Universal Entertainment, Yomiko Advertising, Shueisha, Imagine",Xebec,Manga,"Action, Fantasy, Supernatural, Comedy, School, Shounen",7.37,149149,868,0.582,0,1,7,4,7.26,14
1335,Houkago Teibou Nisshi,Medium,Bad,TV,12,"Apr 7, 2020 to Sep 22, 2020",,Doga Kobo,Manga,"Slice of Life, Comedy, School, Seinen",7.37,33188,129,0.389,0,18,4,2,7.88,0
1338,Love Lab,Medium,Bad,TV,13,"Jul 5, 2013 to Sep 27, 2013","Aniplex, Dentsu, Mainichi Broadcasting System",Doga Kobo,Manga,"Comedy, Romance, School",7.37,152960,510,0.333,0,4,20,3,7.8,7
1340,Mushibugyou,Medium,Bad,TV,26,"Apr 8, 2013 to Sep 30, 2013","TV Tokyo, Dentsu, Avex Pictures",Seven Arcs Pictures,Manga,"Action, Historical, Super Power, Ecchi, Martial Arts, Samurai, Fantasy, Shounen",7.37,70509,172,0.244,0,1,11,2,8.73,7
1345,Rekka no Honoo,Medium,Bad,TV,42,"Jul 19, 1997 to Jul 10, 1998",Fuji TV,Studio Pierrot,Manga,"Action, Adventure, Martial Arts, Shounen, Super Power",7.37,52648,263,0.5,0,1,3,3,8.12,23
1347,Ristorante Paradiso,Medium,Bad,TV,11,"Apr 9, 2009 to Jun 25, 2009","Fuji TV, Fujipacific Music, Sony PCL",David Production,Manga,"Drama, Josei, Romance, Slice of Life",7.37,35884,155,0.432,0,5,27,2,8.3,11
1349,Sewayaki Kitsune no Senko-san,Medium,Bad,TV,12,"Apr 10, 2019 to Jun 26, 2019","Docomo Anime Store, Kadokawa",Doga Kobo,Web manga,"Slice of Life, Comedy, Supernatural, Romance",7.37,208128,1493,0.717,0,18,4,2,8.15,1
1352,Shin Chou Kyou Ryo: Condor Hero,Medium,Bad,TV,26,"Apr 11, 2001 to Oct 28, 2002",Jade Animation,Nippon Animation,Novel,"Adventure, Drama, Historical, Romance",7.37,7506,35,0.466,0,3,5,2,7.92,19
1353,Shokugeki no Souma: Gou no Sara,Medium,Bad,TV,13,"Apr 11, 2020 to Sep 26, 2020",,J.C.Staff,Manga,"Ecchi, School, Shounen",7.37,213566,933,0.437,0,35,24,2,7.29,0
1355,Super Lovers 2,Medium,Bad,TV,10,"Jan 12, 2017 to Mar 16, 2017","Kadokawa Shoten, Movic, AT-X, DAX Production, Nippon Columbia, KlockWorx, Sony Music Communications, Tokyo MX, Lawson HMV Entertainment, TV Saitama",Studio Deen,Manga,"Slice of Life, Comedy, Drama, Romance, Shounen Ai",7.37,56828,335,0.589,0,18,4,1,7.73,3
1360,Nijiiro Days,Medium,Bad,TV,24,"Jan 10, 2016 to Jun 26, 2016","YTV, Tokuma Japan, Daiichikosho, Shueisha",Production Reed,Manga,"Comedy, Romance, School, Shoujo, Slice of Life",7.36,153873,575,0.374,0,4,20,1,6.29,4
1365,Rozen Maiden (2013),Medium,Bad,TV,13,"Jul 5, 2013 to Sep 27, 2013",TBS,Studio Deen,Manga,"Action, Comedy, Drama, Magic, Seinen",7.36,64959,219,0.337,0,1,4,3,7.77,7
1366,Senyuu.,Medium,Bad,TV,13,"Jan 9, 2013 to Apr 3, 2013","TV Tokyo, Bandai Visual, Lantis, Barnum Studio, Dwango, Good Smile Company","Ordet,       LIDENFILMS",Web manga,"Action, Comedy, Parody, Fantasy, Shounen",7.36,98848,592,0.599,0,1,4,1,8.02,7
1376,Aa! Megami-sama! (TV),Medium,Bad,TV,24,"Jan 7, 2005 to Jul 8, 2005","Bandai Visual, TBS, Imagine",AIC,Manga,"Comedy, Supernatural, Magic, Romance, Seinen",7.36,132694,1111,0.837,0,4,19,1,7.59,15
1378,Blood Lad,Medium,Bad,TV,10,"Jul 8, 2013 to Sep 9, 2013","Kadokawa Shoten, KlockWorx, flying DOG",Brain's Base,Manga,"Action, Comedy, Demons, Seinen, Supernatural, Vampire",7.36,501162,1857,0.371,0,1,4,3,6.87,7
1384,Doraemon,Medium,Bad,TV,26,"Apr 1, 1973 to Sep 30, 1973",,,Manga,"Adventure, Comedy, Fantasy, Kids, Shounen",7.36,15083,157,1.041,0,3,4,2,8.29,47
1390,Futatsu no Spica,Medium,Bad,TV,20,"Nov 1, 2003 to Mar 27, 2004",NHK,Group TAC,Manga,"Sci-Fi, Supernatural, Drama, School",7.36,8469,62,0.732,0,10,19,4,6.33,17
1392,Ginga Kikoutai Majestic Prince,Medium,Bad,TV,24,"Apr 4, 2013 to Sep 19, 2013","TV Tokyo, Sotsu, Kadokawa Shoten, KlockWorx, Bandai Namco Games, TOHO animation","Doga Kobo,       Orange",Manga,"Action, Mecha, School, Sci-Fi, Seinen, Space",7.36,48471,160,0.33,0,1,22,2,7.39,7
1399,Love Stage!!,Medium,Bad,TV,10,"Jul 10, 2014 to Sep 11, 2014",Kadokawa Shoten,J.C.Staff,Manga,"Comedy, Romance, Shounen Ai",7.36,178296,1666,0.934,0,4,20,3,7.8,6
1403,Moonlight Mile 2nd Season: Touch Down,Medium,Bad,TV,14,"Sep 13, 2007 to Dec 13, 2007",,Studio Hibari,Manga,"Adventure, Drama, Sci-Fi, Space",7.36,4050,10,0.247,0,3,5,3,6.97,13
1404,Motto To LOVE-Ru,Medium,Bad,TV,12,"Oct 6, 2010 to Dec 22, 2010","Geneon Universal Entertainment, TBS, Magic Capsule, PRA",Xebec,Manga,"Sci-Fi, Harem, Comedy, Ecchi, School, Shounen",7.36,246039,923,0.375,0,10,39,4,7.49,10
1410,Bamboo Blade,Medium,Bad,TV,26,"Oct 2, 2007 to Apr 1, 2008","Square Enix, d-rights, Studio Tulip, KlockWorx, flying DOG",AIC ASTA,Manga,"Comedy, School, Seinen, Sports",7.35,78959,293,0.371,0,4,24,4,7.34,13
1421,Glass no Kamen,Medium,Bad,TV,23,"Apr 9, 1984 to Sep 24, 1984",Studio Jack,Eiken,Manga,"Drama, Romance, Shoujo",7.35,6941,41,0.591,0,5,20,2,6.73,36
1429,Kuzu no Honkai,Medium,Bad,TV,12,"Jan 13, 2017 to Mar 31, 2017","Aniplex, Dentsu, Square Enix, Studio Hibari, Fuji TV, Kyoraku Industrial Holdings, Kansai Telecasting",Lerche,Manga,"Drama, Romance, School, Seinen",7.35,424710,4536,1.068,0,5,20,1,7.01,3
1431,Mahoraba: Heartful days,Medium,Bad,TV,26,"Jan 10, 2005 to Jun 27, 2005","Starchild Records, TV Tokyo Music",J.C.Staff,Manga,"Comedy, Drama, Romance, Shounen",7.35,21595,102,0.472,0,4,5,1,7.93,15
1435,Minami-ke Okawari,Medium,Bad,TV,13,"Jan 7, 2008 to Mar 31, 2008","Starchild Records, Magic Capsule, TV Tokyo Music",Asread,Manga,"Comedy, School, Slice of Life",7.35,64362,60,0.093,0,4,24,1,7.59,12
1437,Nanbaka,Medium,Bad,TV,13,"Oct 5, 2016 to Dec 28, 2016","Nihon Ad Systems, DAX Production, Sony Music Communications, comico, Tokuma Japan Communications, Nelke Planning",Satelight,Web manga,"Action, Comedy, Drama",7.35,214857,1532,0.713,0,1,4,4,8.78,4
1442,Rec,Medium,Bad,TV,9,"Feb 3, 2006 to Mar 31, 2006",TBS,Shaft,Manga,"Comedy, Drama, Romance, Seinen",7.35,97039,309,0.318,0,4,5,1,7.85,14
1452,Zettai Karen Children,Medium,Bad,TV,51,"Apr 6, 2008 to Mar 29, 2009","TV Tokyo, Geneon Universal Entertainment, Shogakukan-Shueisha Productions, Half H.P Studio",SynergySP,Manga,"Action, Comedy, Supernatural, Shounen",7.35,38528,110,0.286,0,1,4,2,7.69,12
1455,Peace Maker Kurogane,Medium,Bad,TV,24,"Oct 8, 2003 to Mar 24, 2004","GDH, TV Asahi, Imagica",Gonzo,Manga,"Action, Comedy, Historical, Samurai, Shounen",7.34,49026,306,0.624,0,1,4,4,7.74,17
1456,Piano no Mori (TV),Medium,Bad,TV,12,"Apr 9, 2018 to Jul 2, 2018",NHK,Gaina,Manga,"Adventure, Music, Comedy, Drama, School, Seinen",7.34,74921,220,0.294,0,3,28,2,7.79,2
1460,Saki Achiga-hen: Episode of Side-A,Medium,Bad,TV,12,"Apr 9, 2012 to Jul 2, 2012","TV Tokyo, Square Enix, Sotsu, Lantis, Pony Canyon",Studio Gokumi,Manga,"Game, School, Slice of Life",7.34,30343,127,0.419,0,16,24,2,7.28,8
1465,Sousei no Onmyouji,Medium,Bad,TV,50,"Apr 6, 2016 to Mar 29, 2017","TV Tokyo, Nihon Ad Systems, TV Tokyo Music, Avex Pictures, Shueisha",Studio Pierrot,Manga,"Action, Supernatural, Romance, Fantasy, Shounen",7.34,349563,2804,0.802,0,1,19,2,7.48,4
1472,Bokutachi wa Benkyou ga Dekinai,Medium,Bad,TV,13,"Apr 7, 2019 to Jun 30, 2019","Aniplex, Movic, Barnum Studio, Magic Capsule, Shueisha, BS11, ADK","Silver,       Arvo Animation",Manga,"Harem, Comedy, Romance, School, Shounen",7.34,231955,1122,0.484,0,39,4,2,7.32,1
1476,Darwin's Game,Medium,Bad,TV,11,"Jan 4, 2020 to Mar 21, 2020","Aniplex, AT-X, Tokyo MX, Akita Shoten, BS11, Kanetsu Investment, CA-Cygames Anime Fund, Hochi Shimbun, ADK",Nexus,Manga,"Action, Sci-Fi, Mystery, Super Power, Shounen",7.34,263044,1459,0.555,0,1,10,1,7.32,0
1481,Hanayamata,Medium,Bad,TV,12,"Jul 8, 2014 to Sep 23, 2014","TV Tokyo, Avex Entertainment, Sotsu, Movic, AT-X, DIVE II Entertainment, Bandai Namco Games",Madhouse,Manga,"Slice of Life, Comedy, School",7.34,91076,343,0.377,0,18,4,3,6.84,6
1482,Hatsukoi Limited.,Medium,Bad,TV,12,"Apr 12, 2009 to Jun 28, 2009",Shueisha,J.C.Staff,Manga,"Comedy, Romance, School, Shounen",7.34,78753,199,0.253,0,4,20,2,7.39,11
1486,Kaitou Joker 4th Season,Medium,Bad,TV,13,"Oct 3, 2016 to Dec 26, 2016","Shogakukan-Shueisha Productions, Vega Entertainment, Asatsu DK, Kids Station, d-rights, Tokyo MX",Shin-Ei Animation,Manga,"Adventure, Mystery, Comedy, Shounen",7.34,3049,20,0.656,0,3,15,4,6.77,4
1489,Mainichi Kaasan,Medium,Bad,TV,142,"Apr 1, 2009 to Mar 25, 2012",Nihon Ad Systems,,Manga,"Slice of Life, Comedy",7.34,2518,28,1.112,0,18,4,2,7.5,11
1496,Bokura ga Ita,Medium,Bad,TV,26,"Jul 4, 2006 to Dec 26, 2006","Marvelous, Pony Canyon, Delfi Sound",Artland,Manga,"Slice of Life, Drama, Romance, Shoujo",7.33,189360,2116,1.117,0,18,5,3,7.48,14
1502,Gaikotsu Shotenin Honda-san,Medium,Bad,TV,12,"Oct 8, 2018 to Dec 24, 2018","Lantis, Half H.P Studio",DLE,Web manga,"Comedy, Slice of Life",7.33,79046,250,0.316,0,4,18,4,6.77,2
1503,Ganbare Genki,Medium,Bad,TV,35,"Jul 16, 1980 to Apr 1, 1981",Fuji TV,Toei Animation,Manga,"Action, Comedy, Shounen, Sports",7.33,1749,13,0.743,0,1,4,3,6.49,40
1509,Kannagi,Medium,Bad,TV,13,"Oct 4, 2008 to Dec 27, 2008","Aniplex, Sony Music Entertainment, Ichijinsha","A-1 Pictures,       Ordet",Manga,"Comedy, School, Shounen, Supernatural",7.33,132431,354,0.267,0,4,24,4,8.78,12
1514,Kuruneko,Medium,Bad,TV,50,"Jul 5, 2009 to Jun 26, 2010","Kadokawa Pictures Japan, Kansai Telecasting, Tokai Television","Studio Deen,       DAX Production",Manga,"Comedy, Slice of Life",7.33,3874,9,0.232,0,4,18,3,6.25,11
1516,Lupin III: Part III,Medium,Bad,TV,50,"Mar 3, 1984 to Dec 25, 1985",,Tokyo Movie Shinsha,Manga,"Action, Adventure, Comedy, Seinen",7.33,14089,18,0.128,0,1,3,1,7.38,36
1523,Natsu no Arashi! Akinaichuu,Medium,Bad,TV,13,"Oct 5, 2009 to Dec 28, 2009","TV Tokyo Music, GANSIS",Shaft,Manga,"Comedy, Romance, Supernatural",7.33,16984,10,0.059,0,4,20,4,6.6,11
1528,Shikabane Hime: Kuro,Medium,Bad,TV,12,"Jan 1, 2009 to Mar 26, 2009","Square Enix, Starchild Records","Gainax,       feel.",Manga,"Action, Horror, Supernatural, Shounen",7.33,66733,116,0.174,0,1,29,1,6.65,11
1529,Shin Chou Kyou Ryo: Condor Hero II,Medium,Bad,TV,26,"Jan 30, 2005 to Sep 2, 2006",Jade Animation,Nippon Animation,Novel,"Adventure, Drama, Historical, Romance",7.33,3209,5,0.156,0,3,5,1,6.77,15
1556,Tiger Mask Nisei,Medium,Bad,TV,33,"Apr 20, 1981 to Jan 18, 1982",,Toei Animation,Manga,"Action, Sports, Drama",7.32,4601,14,0.304,0,1,23,2,7.68,39
1569,Hanamaru Youchien,Medium,Bad,TV,12,"Jan 11, 2010 to Mar 29, 2010","Starchild Records, Omnibus Japan, TV Tokyo Music",Gainax,Manga,"Slice of Life, Comedy, Seinen",7.32,63072,177,0.281,0,18,4,1,8.29,10
1574,Legend of Basara,Medium,Bad,TV,13,"Apr 3, 1998 to Jun 26, 1998",KSS,,Manga,"Adventure, Romance, Drama, Shoujo",7.32,9570,73,0.763,0,3,20,2,6.62,22
1578,Munou na Nana,Medium,Bad,TV,13,"Oct 4, 2020 to ?","Square Enix, AT-X, Nippon Columbia, BS Fuji, Hakuhodo DY Music & Pictures, Docomo Anime Store, Yomiuri TV Enterprise, Kanon Sound, NichiNare, Kadokawa, Muse Communication, Show Corporation",Bridge,Manga,"Super Power, Psychological, Supernatural, Thriller, Shounen",7.32,87607,244,0.279,0,14,26,4,7.01,0
1584,Cuticle Tantei Inaba,Medium,Bad,TV,12,"Jan 4, 2013 to Mar 22, 2013","Frontier Works, Media Factory, AT-X, Showgate, BIGLOBE",Zexcs,Manga,"Action, Mystery, Comedy, Supernatural, Shounen",7.31,81521,384,0.471,0,1,15,1,6.87,7
1587,Erementar Gerad,Medium,Bad,TV,26,"Apr 5, 2005 to Sep 27, 2005","TV Tokyo, Geneon Universal Entertainment, Sotsu, Victor Entertainment",Xebec,Manga,"Adventure, Comedy, Super Power, Magic, Romance, Fantasy, Shounen",7.31,83722,488,0.583,0,3,4,2,7.49,15
1588,Fate/kaleid liner Prisma☆Illya 2wei!,Medium,Bad,TV,10,"Jul 10, 2014 to Sep 11, 2014","Lantis, Kadokawa Shoten, AT-X, DAX Production, KlockWorx, Tokyo MX, Kadokawa Media House",Silver Link.,Manga,"Action, Comedy, Fantasy, Magic",7.31,119253,242,0.203,0,1,4,3,7.11,6
1602,Onihei,Medium,Bad,TV,13,"Jan 10, 2017 to Apr 4, 2017","TV Tokyo, TMS Entertainment, Bungeishunjuu, Jidaigeki Channel",Studio M2,Novel,"Historical, Seinen",7.31,32798,82,0.25,0,11,17,1,9.21,3
1608,Shounen Maid,Medium,Bad,TV,12,"Apr 8, 2016 to Jul 1, 2016","Kadokawa Shoten, TBS, DAX Production, Nippon Columbia, Sony Music Communications, Lawson, NichiNare",8bit,Manga,"Comedy, Shoujo, Slice of Life",7.31,61138,245,0.401,0,4,32,2,7.77,4
1614,Wagamama☆Fairy Mirumo de Pon!,Medium,Bad,TV,172,"Apr 6, 2002 to Sep 27, 2005",Trinity Sound,Studio Hibari,Manga,"Kids, Adventure, Fantasy, Magic, Comedy, Romance, School, Drama, Shoujo",7.31,14457,180,1.245,0,36,3,2,6.83,18
1622,Potemayo,Medium,Bad,TV,12,"Jul 7, 2007 to Sep 22, 2007",Lantis,J.C.Staff,4-koma manga,"Comedy, School, Seinen",7.3,14494,66,0.455,0,4,24,3,7.3,13
1623,RideBack,Medium,Bad,TV,12,"Jan 12, 2009 to Mar 30, 2009",Geneon Universal Entertainment,Madhouse,Manga,"Action, Drama, Mecha, School, Sci-Fi",7.3,41495,132,0.318,0,1,5,1,7.62,11
1632,Souten Kouro,Medium,Bad,TV,26,"Apr 8, 2009 to Sep 30, 2009",VAP,Madhouse,Manga,"Action, Adventure, Historical",7.3,15344,43,0.28,0,1,3,2,6.97,11
1639,Angel Heart,Medium,Bad,TV,50,"Oct 4, 2005 to Sep 26, 2006",Aniplex,TMS Entertainment,Manga,"Action, Mystery, Drama, Romance, Seinen",7.3,14161,68,0.48,0,1,15,4,7.79,15
1643,Black Clover,Medium,Bad,TV,Unknown,"Oct 3, 2017 to ?","TV Tokyo, Avex Pictures, Shueisha",Studio Pierrot,Manga,"Action, Comedy, Magic, Fantasy, Shounen",7.3,707417,13984,1.977,0,1,4,4,7.62,3
1646,Break Blade,Medium,Bad,TV,12,"Apr 6, 2014 to Jun 22, 2014","Bandai Visual, Lantis, Showgate","Production I.G,       Xebec",Manga,"Action, Military, Fantasy, Mecha, Shounen",7.3,77752,191,0.246,0,1,2,2,7.34,6
1647,Captain Tsubasa,Medium,Bad,TV,128,"Oct 13, 1983 to Mar 27, 1986","TV Tokyo, Studio Jack, CBS",Tsuchida Productions,Manga,"Action, Shounen, Sports",7.3,62554,422,0.675,0,1,8,4,6.34,37
1667,MÄR,Medium,Bad,TV,102,"Apr 3, 2005 to Mar 25, 2007","TV Tokyo, Shogakukan-Shueisha Productions, A-Line",SynergySP,Manga,"Action, Adventure, Comedy, Fantasy, Shounen",7.3,42500,277,0.652,0,1,3,2,7.36,15
1668,Midori no Hibi,Medium,Bad,TV,13,"Apr 4, 2004 to Jun 27, 2004","Bandai Visual, Lantis",Studio Pierrot,Manga,"Comedy, Drama, Romance, Ecchi, Shounen",7.3,132424,591,0.446,0,4,5,2,7.53,16
1670,Nabari no Ou,Medium,Bad,TV,26,"Apr 7, 2008 to Sep 29, 2008","Square Enix, Kinyosha",J.C.Staff,Manga,"Action, Fantasy, Supernatural, Comedy, Drama, Shounen",7.3,144558,1412,0.977,0,1,7,2,6.92,12
1685,Kamichama Karin,Medium,Bad,TV,26,"Apr 6, 2007 to Sep 28, 2007","Broccoli, Nihon Ad Systems, Pony Canyon, Studio Kelmadick",Satelight,Manga,"Comedy, Fantasy, Magic, Romance, School, Shoujo",7.29,42516,476,1.12,0,4,7,2,7.5,13
1687,Koukaku Kidoutai: Stand Alone Complex - Tachikoma na Hibi (TV),Medium,Bad,TV,12,"May 2, 2007 to Apr 13, 2008",,Production I.G,Manga,"Sci-Fi, Comedy, Mecha",7.29,10766,6,0.056,0,10,4,2,6.73,13
1688,Mahoutsukai ni Taisetsu na Koto: Natsu no Sora,Medium,Bad,TV,12,"Jul 3, 2008 to Sep 25, 2008","Geneon Universal Entertainment, TV Asahi",Hal Film Maker,Manga,"Slice of Life, Drama, Magic, Romance, Shounen",7.29,21638,63,0.291,0,18,5,3,7.06,12
1689,Matantei Loki Ragnarok,Medium,Bad,TV,26,"Apr 5, 2003 to Sep 27, 2003","TV Tokyo, Rakuonsha",Studio Deen,Manga,"Comedy, Magic, Mystery, Shounen, Supernatural",7.29,33233,211,0.635,0,4,6,2,7.29,17
1694,Nagasarete Airantou,Medium,Bad,TV,26,"Apr 5, 2007 to Sep 27, 2007",Square Enix,feel.,Manga,"Harem, Comedy, Romance, Ecchi, Fantasy, Shounen",7.29,80331,372,0.463,0,39,4,2,7.58,13
1695,Natsu no Arashi!,Medium,Bad,TV,13,"Apr 6, 2009 to Jun 29, 2009","TV Tokyo Music, GANSIS",Shaft,Manga,"Comedy, Romance, Supernatural",7.29,43962,75,0.171,0,4,20,2,7.57,11
1696,Natsuyuki Rendezvous,Medium,Bad,TV,11,"Jul 6, 2012 to Sep 14, 2012","Fuji TV, Toho, Sony Music Entertainment",Doga Kobo,Manga,"Supernatural, Drama, Romance, Josei",7.29,64421,228,0.354,0,19,5,3,7.93,8
1697,Needless,Medium,Bad,TV,24,"Jul 3, 2009 to Dec 11, 2009","Avex Entertainment, Lantis",Madhouse,Manga,"Action, Sci-Fi, Comedy, Super Power, Ecchi, Seinen",7.29,123902,551,0.445,0,1,10,3,7.65,11
1702,Patalliro!,Medium,Bad,TV,49,"Apr 9, 1982 to May 13, 1983",,Toei Animation,Manga,"Adventure, Comedy, Romance, Shoujo, Shounen Ai",7.29,5313,76,1.43,0,3,4,2,7.17,38
1714,Tekken Chinmi,Medium,Bad,TV,20,"Jul 2, 1988 to Dec 24, 1988","Ashi Production, Studio Jack",Production Reed,Manga,"Action, Adventure, Historical, Martial Arts, Shounen",7.29,3417,10,0.293,0,1,3,3,7.33,32
1721,Poputepipikku,Medium,Bad,TV,12,"Jan 7, 2018 to Mar 25, 2018",King Records,Kamikaze Douga,4-koma manga,"Comedy, Dementia, Parody",7.28,158345,1008,0.637,0,4,38,1,6.81,2
1730,Subete ga F ni Naru,Medium,Bad,TV,11,"Oct 9, 2015 to Dec 18, 2015","Aniplex, Dentsu, Fuji TV, Kyoraku Industrial Holdings, Kansai Telecasting",A-1 Pictures,Novel,"Sci-Fi, Mystery, Psychological",7.28,134177,623,0.464,0,10,15,4,7.57,5
1741,Amanchu!,Medium,Bad,TV,12,"Jul 8, 2016 to Sep 23, 2016","Production I.G, Frontier Works, Shochiku, AT-X, flying DOG, Tokyo MX, Mag Garden",J.C.Staff,Manga,"Slice of Life, Comedy, School, Shounen",7.28,78573,274,0.349,0,18,4,3,7.29,4
1744,Captain Tsubasa J,Medium,Bad,TV,47,"Oct 21, 1994 to Dec 22, 1995","Nihon Ad Systems, Fuji TV, Studio Jack",Studio Comet,Manga,"Action, Sports, Shounen",7.28,22525,75,0.333,0,1,23,4,6.34,26
