,Anime Title,Type,Score_reference2,Episodes,Aired,Producers,Studios,Source,Genres,Score,Members,Favorites,Fav%,Source_reference,genre_reference_1,genre_reference_2,Season
0,Fullmetal Alchemist: Brotherhood,TV,Good,64,"Apr 5, 2009 to Jul 4, 2010","Aniplex, Square Enix, Mainichi Broadcasting System, Studio Moriken",Bones,Manga,"Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen",9.22,2025613,167812,8.285,0,1,2,2
1,Steins;Gate,TV,Good,24,"Apr 6, 2011 to Sep 14, 2011","Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus",White Fox,Visual novel,"Thriller, Sci-Fi",9.12,1636151,139909,8.551,1,9,10,2
2,Gintama°,TV,Good,51,"Apr 8, 2015 to Mar 30, 2016","TV Tokyo, Aniplex, Dentsu",Bandai Namco Pictures,Manga,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",9.11,363879,10353,2.845,0,1,4,2
3,Hunter x Hunter (2011),TV,Good,148,"Oct 2, 2011 to Sep 24, 2014","VAP, Nippon Television Network, Shueisha",Madhouse,Manga,"Action, Adventure, Fantasy, Shounen, Super Power",9.11,1459320,130492,8.942,0,1,3,4
5,Gintama',TV,Good,51,"Apr 4, 2011 to Mar 26, 2012","TV Tokyo, Aniplex, Dentsu, Trinity Sound, Miracle Robo, Studio Jack, Shueisha",Sunrise,Manga,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",9.08,337198,6013,1.783,0,1,10,2
6,Shingeki no Kyojin Season 3 Part 2,TV,Good,10,"Apr 29, 2019 to Jul 1, 2019","Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprise",Wit Studio,Manga,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",9.07,815370,28479,3.493,0,1,2,2
7,Gintama': Enchousen,TV,Good,13,"Oct 4, 2012 to Mar 28, 2013","TV Tokyo, Aniplex, Dentsu, Shueisha, Miracle Bus",Sunrise,Manga,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",9.04,204816,2302,1.124,0,1,4,4
8,3-gatsu no Lion 2nd Season,TV,Good,22,"Oct 14, 2017 to Mar 31, 2018","Aniplex, Dentsu, NHK, Hakusensha, Asmik Ace, Toy's Factory",Shaft,Manga,"Drama, Game, Seinen, Slice of Life",9.02,238010,9854,4.14,0,5,16,4
11,Gintama.,TV,Good,12,"Jan 9, 2017 to Mar 27, 2017","TV Tokyo, Aniplex, Dentsu, Shueisha",Bandai Namco Pictures,Manga,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",8.98,182142,2096,1.151,0,1,4,1
12,Gintama,TV,Good,201,"Apr 4, 2006 to Mar 25, 2010","TV Tokyo, Aniplex, Dentsu, Trinity Sound, Audio Highs, Miracle Robo, Shueisha",Sunrise,Manga,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",8.97,700209,45488,6.496,0,1,4,2
14,Clannad: After Story,TV,Good,24,"Oct 3, 2008 to Mar 27, 2009","Pony Canyon, TBS, Rakuonsha, Animation Do",Kyoto Animation,Visual novel,"Slice of Life, Comedy, Supernatural, Drama, Romance",8.96,859664,59603,6.933,1,18,4,4
15,Owarimonogatari 2nd Season,TV,Good,7,"Aug 12, 2017 to Aug 13, 2017","Aniplex, Kodansha",Shaft,Light novel,"Mystery, Comedy, Supernatural, Vampire",8.93,249949,5598,2.24,1,15,4,3
16,Code Geass: Hangyaku no Lelouch R2,TV,Good,25,"Apr 6, 2008 to Sep 28, 2008","Bandai Visual, Mainichi Broadcasting System, Bandai, Bandai Namco Entertainment, Hakuhodo DY Media Partners",Sunrise,Original,"Action, Military, Sci-Fi, Super Power, Drama, Mecha",8.91,1179120,60567,5.137,5,1,2,2
17,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,Good,10,"Oct 8, 2016 to Dec 10, 2016","TOHO animation, Shueisha",Production I.G,Manga,"Comedy, Sports, Drama, School, Shounen",8.9,616770,11288,1.83,0,4,23,4
18,Mob Psycho 100 II,TV,Good,13,"Jan 7, 2019 to Apr 1, 2019","Warner Bros. Japan, KlockWorx, BS Fuji, Hakuhodo DY Music & Pictures, Shogakukan",Bones,Web manga,"Action, Slice of Life, Comedy, Supernatural",8.86,716685,17847,2.49,0,1,18,1
19,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV,Good,14,"Jul 9, 2018 to Oct 8, 2018","TV Tokyo, Aniplex, Dentsu, Shueisha",Bandai Namco Pictures,Manga,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",8.85,100120,763,0.762,0,1,10,3
22,Gintama.: Shirogane no Tamashii-hen,TV,Good,12,"Jan 8, 2018 to Mar 26, 2018","TV Tokyo, Aniplex, Dentsu, Shueisha",Bandai Namco Pictures,Manga,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",8.8,113379,891,0.786,0,1,10,1
23,Cowboy Bebop,TV,Good,26,"Apr 3, 1998 to Apr 24, 1999",Bandai Visual,Sunrise,Original,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",8.79,1144863,57709,5.041,5,1,3,2
24,Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,TV,Good,12,"Apr 11, 2020 to Jun 27, 2020","Aniplex, Mainichi Broadcasting System, Shueisha, JR East Marketing & Communications",A-1 Pictures,Manga,"Comedy, Psychological, Romance, School, Seinen",8.79,513902,11964,2.328,0,4,26,2
25,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,Good,12,"Jan 7, 2017 to Mar 25, 2017","Mainichi Broadcasting System, Kodansha, DAX Production, King Records",Studio Deen,Manga,"Drama, Historical, Josei",8.79,130750,2460,1.881,0,5,11,1
27,Monogatari Series: Second Season,TV,Good,26,"Jul 7, 2013 to Dec 29, 2013","Aniplex, Kodansha, Cyclone Graphics",Shaft,Light novel,"Mystery, Comedy, Supernatural, Romance, Vampire",8.78,476697,18388,3.857,1,15,4,3
28,Haikyuu!! Second Season,TV,Good,25,"Oct 4, 2015 to Mar 27, 2016","TOHO animation, Shueisha",Production I.G,Manga,"Comedy, Sports, Drama, School, Shounen",8.77,743041,12594,1.695,0,4,23,4
29,Mushishi Zoku Shou 2nd Season,TV,Good,10,"Oct 19, 2014 to Dec 21, 2014","Aniplex, Kodansha, Delfi Sound",Artland,Manga,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",8.77,186202,1132,0.608,0,3,7,4
30,Shigatsu wa Kimi no Uso,TV,Good,22,"Oct 10, 2014 to Mar 20, 2015","Aniplex, Dentsu, Kodansha, Fuji TV, Kyoraku Industrial Holdings",A-1 Pictures,Manga,"Drama, Music, Romance, School, Shounen",8.77,1293935,64581,4.991,0,5,28,4
31,Made in Abyss,TV,Good,13,"Jul 7, 2017 to Sep 29, 2017","Media Factory, AT-X, Takeshobo, Sony Music Communications, Kadokawa Media House, Cygames, Kanetsu Investment, Global Solutions",Kinema Citrus,Web manga,"Sci-Fi, Adventure, Mystery, Drama, Fantasy",8.76,780448,27830,3.566,0,10,3,3
33,Hajime no Ippo,TV,Good,75,"Oct 4, 2000 to Mar 27, 2002",VAP,Madhouse,Manga,"Comedy, Sports, Drama, Shounen",8.75,359850,14900,4.141,0,4,23,4
34,Monster,TV,Good,74,"Apr 7, 2004 to Sep 28, 2005","VAP, Shogakukan-Shueisha Productions, Nippon Television Network",Madhouse,Manga,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",8.74,559125,26828,4.798,0,5,29,2
36,Mushishi Zoku Shou,TV,Good,10,"Apr 5, 2014 to Jun 21, 2014","Aniplex, Kodansha, Delfi Sound",Artland,Manga,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen",8.73,214602,1320,0.615,0,3,18,2
38,Vinland Saga,TV,Good,24,"Jul 8, 2019 to Dec 30, 2019","Production I.G, Dentsu, Kodansha, Twin Engine",Wit Studio,Manga,"Action, Adventure, Drama, Historical, Seinen",8.72,554067,13540,2.444,0,1,3,3
39,Code Geass: Hangyaku no Lelouch,TV,Good,25,"Oct 6, 2006 to Jul 29, 2007","Bandai Visual, Mainichi Broadcasting System, Bandai, Sony Music Entertainment, Bandai Namco Entertainment, Hakuhodo DY Media Partners",Sunrise,Original,"Action, Military, Sci-Fi, Super Power, Drama, Mecha, School",8.72,1469016,85676,5.832,5,1,2,4
42,Great Teacher Onizuka,TV,Good,43,"Jun 30, 1999 to Sep 17, 2000","Aniplex, Fuji TV",Studio Pierrot,Manga,"Slice of Life, Comedy, Drama, School, Shounen",8.7,547758,19656,3.588,0,18,4,2
43,Mushishi,TV,Good,26,"Oct 23, 2005 to Jun 19, 2006","Avex Entertainment, Marvelous, SKY Perfect Well Think, Delfi Sound",Artland,Manga,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen",8.7,582550,22162,3.804,0,3,18,4
44,Hajime no Ippo: New Challenger,TV,Good,26,"Jan 7, 2009 to Jul 1, 2009","VAP, Kodansha, Nippon Television Network",Madhouse,Manga,"Comedy, Sports, Drama, Shounen",8.68,190465,1530,0.803,0,4,23,1
45,Natsume Yuujinchou Shi,TV,Good,13,"Jan 3, 2012 to Mar 27, 2012","TV Tokyo, Aniplex, Nihon Ad Systems, Hakusensha, Sony Music Entertainment",Brain's Base,Manga,"Slice of Life, Demons, Supernatural, Drama, Shoujo",8.68,184170,1732,0.94,0,18,31,1
46,Ashita no Joe 2,TV,Good,47,"Oct 13, 1980 to Aug 31, 1981",Annapuru,Tokyo Movie Shinsha,Manga,"Action, Drama, Shounen, Slice of Life, Sports",8.67,27489,1413,5.14,0,1,5,4
48,Kimetsu no Yaiba,TV,Good,26,"Apr 6, 2019 to Sep 28, 2019","Aniplex, Shueisha",ufotable,Manga,"Action, Demons, Historical, Shounen, Supernatural",8.67,1145296,40835,3.565,0,1,31,2
49,Tengen Toppa Gurren Lagann,TV,Good,27,"Apr 1, 2007 to Sep 30, 2007","TV Tokyo, Aniplex, Dentsu, Konami, Half H.P Studio, Bandai",Gainax,Original,"Action, Adventure, Comedy, Mecha, Sci-Fi",8.67,1145326,65276,5.699,5,1,3,2
52,Natsume Yuujinchou Roku,TV,Good,11,"Apr 12, 2017 to Jun 21, 2017","TV Tokyo, Aniplex, Nihon Ad Systems, Hakusensha",Shuka,Manga,"Slice of Life, Demons, Supernatural, Drama, Shoujo",8.66,126415,886,0.701,0,18,31,2
53,Yakusoku no Neverland,TV,Good,12,"Jan 10, 2019 to Mar 29, 2019","Aniplex, Dentsu, A-1 Pictures, Fuji TV, Shueisha, CA-Cygames Anime Fund",CloverWorks,Manga,"Sci-Fi, Mystery, Horror, Psychological, Thriller, Shounen",8.65,880722,24339,2.764,0,10,15,1
55,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV,Good,39,"Oct 6, 2018 to Jul 28, 2019","Warner Bros. Japan, KlockWorx, Medicos Entertainment, Shueisha",David Production,Manga,"Action, Adventure, Shounen",8.63,454375,17680,3.891,0,1,3,4
56,Ping Pong the Animation,TV,Good,11,"Apr 11, 2014 to Jun 20, 2014","Aniplex, Dentsu, Fuji TV, Kyoraku Industrial Holdings, Science SARU",Tatsunoko Production,Manga,"Drama, Psychological, Seinen, Sports",8.63,245258,10880,4.436,0,5,26,2
57,Violet Evergarden,TV,Good,13,"Jan 11, 2018 to Apr 5, 2018","Lantis, Pony Canyon, Rakuonsha, ABC Animation",Kyoto Animation,Light novel,"Slice of Life, Drama, Fantasy",8.63,909135,29329,3.226,1,18,5,1
58,Death Note,TV,Good,37,"Oct 4, 2006 to Jun 27, 2007","VAP, Konami, Ashi Production, Nippon Television Network, Shueisha",Madhouse,Manga,"Mystery, Police, Psychological, Supernatural, Thriller, Shounen",8.62,2331023,130420,5.595,0,15,30,4
60,Yojouhan Shinwa Taikei,TV,Good,11,"Apr 23, 2010 to Jul 2, 2010","Dentsu, Kadokawa Shoten, Fuji TV, Toho, Asmik Ace, Tohokushinsha Film Corporation, Sony Music Entertainment, Fujipacific Music",Madhouse,Novel,"Mystery, Comedy, Psychological, Romance",8.61,286724,13627,4.753,0,15,4,2
61,One Punch Man,TV,Good,12,"Oct 5, 2015 to Dec 21, 2015","TV Tokyo, Bandai Visual, Lantis, Asatsu DK, Banpresto, Good Smile Company, Shueisha, JR East Marketing & Communications",Madhouse,Web manga,"Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural",8.6,1911640,50667,2.65,0,1,10,4
62,Shouwa Genroku Rakugo Shinjuu,TV,Good,13,"Jan 9, 2016 to Apr 2, 2016","Starchild Records, Mainichi Broadcasting System, Kodansha, DAX Production",Studio Deen,Manga,"Drama, Historical, Josei",8.6,211755,4689,2.214,0,5,11,1
64,Fate/Zero 2nd Season,TV,Good,12,"Apr 8, 2012 to Jun 24, 2012","Aniplex, Nitroplus, Seikaisha, Notes",ufotable,Light novel,"Action, Supernatural, Magic, Fantasy",8.6,756609,16014,2.117,1,1,19,2
65,Hajime no Ippo: Rising,TV,Good,25,"Oct 6, 2013 to Mar 29, 2014","VAP, Kodansha, Nippon Television Network","Madhouse,       MAPPA",Manga,"Comedy, Sports, Drama, Shounen",8.6,164558,965,0.586,0,4,23,4
67,Natsume Yuujinchou San,TV,Good,13,"Jul 5, 2011 to Sep 27, 2011","Aniplex, Sakura Create",Brain's Base,Manga,"Slice of Life, Demons, Supernatural, Drama, Shoujo",8.6,191568,1237,0.646,0,18,31,3
68,Bakuman. 3rd Season,TV,Good,25,"Oct 6, 2012 to Mar 30, 2013","NHK, Shueisha",J.C.Staff,Manga,"Comedy, Drama, Romance, Shounen",8.59,256830,2711,1.056,0,4,5,4
69,Natsume Yuujinchou Go,TV,Good,11,"Oct 5, 2016 to Dec 21, 2016","TV Tokyo, Aniplex, Nihon Ad Systems, Hakusensha",Shuka,Manga,"Slice of Life, Demons, Supernatural, Drama, Shoujo",8.59,127673,657,0.515,0,18,31,4
70,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,TV,Good,13,"Jul 8, 2020 to Sep 30, 2020","AT-X, Memory-Tech, Hakuhodo DY Music & Pictures, Kadokawa Media House, Kadokawa",White Fox,Light novel,"Psychological, Drama, Thriller, Fantasy",8.59,487010,7846,1.611,1,26,5,3
71,Sora yori mo Tooi Basho,TV,Good,13,"Jan 2, 2018 to Mar 27, 2018","Media Factory, Movic, AT-X, Sony Music Communications, Docomo Anime Store, Kadokawa Media House, Kadokawa, NewGin, Crunchyroll SC Anime Fund",Madhouse,Original,"Adventure, Comedy, Drama",8.58,314339,9394,2.988,5,3,4,1
74,Haikyuu!!,TV,Good,25,"Apr 6, 2014 to Sep 21, 2014","Mainichi Broadcasting System, TOHO animation, Shueisha",Production I.G,Manga,"Comedy, Sports, Drama, School, Shounen",8.57,1015866,47873,4.713,0,4,23,2
76,Zoku Natsume Yuujinchou,TV,Good,13,"Jan 6, 2009 to Mar 31, 2009","Aniplex, Nihon Ad Systems",Brain's Base,Manga,"Slice of Life, Demons, Supernatural, Drama, Shoujo",8.57,192922,1398,0.725,0,18,31,1
77,Ansatsu Kyoushitsu 2nd Season,TV,Good,25,"Jan 8, 2016 to Jul 1, 2016","Dentsu, Studio Hibari, Fuji TV, DAX Production, Avex Pictures, Shueisha, Kansai Telecasting",Lerche,Manga,"Action, Comedy, School, Shounen",8.55,791981,12820,1.619,0,1,4,1
78,Fruits Basket 2nd Season,TV,Good,25,"Apr 7, 2020 to Sep 22, 2020",,TMS Entertainment,Manga,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",8.55,152914,2058,1.346,0,18,4,2
80,Aria the Origination,TV,Good,13,"Jan 8, 2008 to Apr 1, 2008","TV Tokyo, Shochiku, Mag Garden",Hal Film Maker,Manga,"Sci-Fi, Slice of Life, Fantasy, Shounen",8.54,94774,3535,3.73,0,10,18,1
81,Chihayafuru 3,TV,Good,24,"Oct 23, 2019 to Mar 25, 2020","Kodansha, Nippon Television Network, TC Entertainment, Nippon Television Music, FBC",Madhouse,Manga,"Game, Slice of Life, Sports, Drama, School, Josei",8.54,79390,1045,1.316,0,16,18,4
82,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,TV,Good,26,"Jan 1, 2004 to Jan 8, 2005","Bandai Visual, Dentsu, Victor Entertainment, Kodansha, Tokuma Shoten, Nippon Television Network",Production I.G,Manga,"Action, Military, Sci-Fi, Mystery, Police, Mecha, Seinen",8.54,186606,2947,1.579,0,1,2,1
83,Shingeki no Kyojin Season 3,TV,Good,12,"Jul 23, 2018 to Oct 15, 2018","Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprise",Wit Studio,Manga,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",8.54,963069,10380,1.078,0,1,2,3
84,Slam Dunk,TV,Good,101,"Oct 16, 1993 to Mar 23, 1996","TV Asahi, Animax",Toei Animation,Manga,"Comedy, Drama, School, Shounen, Sports",8.53,185768,5053,2.72,0,4,5,4
85,Uchuu Kyoudai,TV,Good,99,"Apr 1, 2012 to Mar 22, 2014","Aniplex, Dentsu, YTV, Trinity Sound",A-1 Pictures,Manga,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",8.53,142919,3294,2.305,0,4,10,2
86,Gintama.: Porori-hen,TV,Good,13,"Oct 2, 2017 to Dec 25, 2017","TV Tokyo, Aniplex, Dentsu, Shueisha",Bandai Namco Pictures,Manga,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",8.53,114923,840,0.731,0,1,10,4
88,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,TV,Good,39,"Apr 2, 2016 to Dec 24, 2016","Warner Bros. Japan, KlockWorx, Medicos Entertainment, Shueisha",David Production,Manga,"Action, Adventure, Comedy, Supernatural, Drama, Shounen",8.52,545974,20944,3.836,0,1,3,2
89,Rainbow: Nisha Rokubou no Shichinin,TV,Good,26,"Apr 7, 2010 to Sep 29, 2010","VAP, Nippon Television Network",Madhouse,Manga,"Drama, Historical, Seinen, Thriller",8.52,287663,7016,2.439,0,5,11,2
90,Steins;Gate 0,TV,Good,23,"Apr 12, 2018 to Sep 27, 2018","Frontier Works, Media Factory, Kadokawa Shoten, Movic",White Fox,Visual novel,"Sci-Fi, Thriller",8.52,539288,8227,1.526,1,10,9,2
93,Saiki Kusuo no Ψ-nan 2,TV,Good,24,"Jan 17, 2018 to Jun 27, 2018","TV Tokyo, Shogakukan-Shueisha Productions, Nippon Columbia, KlockWorx, Asmik Ace, Bandai Namco Entertainment, Shueisha, Toy's Factory, Dear Stage inc.","J.C.Staff,       Egg Firm",Manga,"Slice of Life, Comedy, Supernatural, School, Shounen",8.51,291900,2639,0.904,0,18,4,1
95,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,TV,Good,12,"Jul 10, 2020 to Sep 25, 2020","Marvelous, TBS, Movic, Delfi Sound, NBCUniversal Entertainment Japan",feel.,Light novel,"Slice of Life, Comedy, Drama, Romance, School",8.51,311386,10706,3.438,1,18,4,3
96,Haikyuu!!: To the Top 2nd Season,TV,Good,12,"Oct 3, 2020 to ?","Dentsu, Mainichi Broadcasting System, Movic, Sony Music Entertainment, TOHO animation, Shueisha",Production I.G,Manga,"Comedy, Sports, Drama, School, Shounen",8.51,207776,1783,0.858,0,4,23,4
100,Samurai Champloo,TV,Good,26,"May 20, 2004 to Mar 19, 2005","Victor Entertainment, Fuji TV, Barnum Studio, Tokuma Shoten, flying DOG",Manglobe,Original,"Action, Adventure, Comedy, Historical, Samurai, Shounen",8.5,829029,27601,3.329,5,1,3,2
101,One Piece,TV,Good,Unknown,"Oct 20, 1999 to ?","Fuji TV, TAP, Shueisha",Toei Animation,Manga,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",8.49,1198040,109281,9.122,0,1,3,4
102,Mob Psycho 100,TV,Good,12,"Jul 11, 2016 to Sep 27, 2016","Warner Bros. Japan, KlockWorx, BS Fuji, Hakuhodo DY Music & Pictures, Shogakukan",Bones,Web manga,"Action, Slice of Life, Comedy, Supernatural",8.49,1110613,24383,2.195,0,1,18,3
103,Kenpuu Denki Berserk,TV,Good,25,"Oct 8, 1997 to Apr 1, 1998","VAP, Hakusensha, Nippon Television Network",OLM,Manga,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",8.48,410146,17489,4.264,0,1,3,4
104,Nichijou,TV,Good,26,"Apr 3, 2011 to Sep 25, 2011","Lantis, Kadokawa Shoten, Movic, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, Animation Do",Kyoto Animation,Manga,"Slice of Life, Comedy, School, Shounen",8.48,605272,17595,2.907,0,18,4,2
105,Saiki Kusuo no Ψ-nan,TV,Good,120,"Jul 4, 2016 to Dec 26, 2016","TV Tokyo, Shogakukan-Shueisha Productions, Pony Canyon, Nippon Columbia, KlockWorx, Asmik Ace, Bandai Namco Entertainment, Shueisha, Toy's Factory, Dear Stage inc.","J.C.Staff,       Egg Firm",Manga,"Comedy, School, Shounen, Slice of Life, Supernatural",8.47,490588,12349,2.517,0,4,24,3
107,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,TV,Good,24,"Jan 10, 2015 to Jun 20, 2015","Yomiko Advertising, Warner Bros. Japan, Kamikaze Douga, KlockWorx, Shueisha",David Production,Manga,"Action, Adventure, Supernatural, Drama, Shounen",8.47,554723,12243,2.207,0,1,3,1
108,Kaze ga Tsuyoku Fuiteiru,TV,Good,23,"Oct 3, 2018 to Mar 27, 2019","Movic, Nippon Television Network, TOHO animation, Toy's Factory, Cygames, Yomiuri Shimbun",Production I.G,Novel,"Comedy, Sports, Drama",8.47,175447,3597,2.05,0,4,23,4
110,Major S5,TV,Good,25,"Jan 10, 2009 to Jun 27, 2009",NHK,SynergySP,Manga,"Comedy, Drama, Romance, Shounen, Sports",8.46,54698,572,1.046,0,4,5,1
111,Owarimonogatari,TV,Good,12,"Oct 4, 2015 to Dec 20, 2015",Aniplex,Shaft,Light novel,"Mystery, Comedy, Supernatural, Vampire",8.46,330590,2121,0.642,1,15,4,4
115,Shingeki no Kyojin,TV,Good,25,"Apr 7, 2013 to Sep 29, 2013","Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Mad Box, Pony Canyon Enterprise",Wit Studio,Manga,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",8.45,2224407,106129,4.771,0,1,2,2
117,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV,Good,11,"Apr 15, 2011 to Jun 24, 2011","Aniplex, Dentsu, Fuji TV, Fujipacific Music",A-1 Pictures,Original,"Slice of Life, Supernatural, Drama",8.45,1060696,28996,2.734,5,18,19,2
118,Koukaku Kidoutai: Stand Alone Complex,TV,Good,26,"Oct 1, 2002 to Oct 1, 2003","Bandai Visual, Dentsu, Victor Entertainment, Animax, Kodansha, Trilogy Future Studio, Tokuma Shoten, Nippon Television Network",Production I.G,Manga,"Action, Military, Sci-Fi, Police, Mecha, Seinen",8.45,316286,7994,2.527,0,1,2,4
119,Nana,TV,Good,47,"Apr 5, 2006 to Mar 28, 2007","VAP, Nippon Television Network, Shueisha",Madhouse,Manga,"Music, Slice of Life, Comedy, Drama, Romance, Shoujo",8.45,372467,15635,4.198,0,28,18,2
120,3-gatsu no Lion,TV,Good,22,"Oct 8, 2016 to Mar 18, 2017","Aniplex, Dentsu, NHK, Hakusensha, Asmik Ace, Toy's Factory",Shaft,Manga,"Drama, Game, Seinen, Slice of Life",8.44,413674,10110,2.444,0,5,16,4
121,Chihayafuru 2,TV,Good,25,"Jan 12, 2013 to Jun 29, 2013","VAP, Nippon Television Network",Madhouse,Manga,"Drama, Game, Josei, School, Slice of Life, Sports",8.44,174227,1566,0.899,0,5,16,1
122,Cross Game,TV,Good,50,"Apr 5, 2009 to Mar 28, 2010","TV Tokyo, Shogakukan-Shueisha Productions",SynergySP,Manga,"Comedy, Drama, Romance, School, Shounen, Sports",8.44,96880,2667,2.753,0,4,5,2
124,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,TV,Good,12,"Jan 12, 2019 to Mar 30, 2019","Aniplex, Mainichi Broadcasting System, Magic Capsule, Shueisha, JR East Marketing & Communications",A-1 Pictures,Manga,"Comedy, Psychological, Romance, School, Seinen",8.44,768194,18340,2.387,0,4,26,1
127,Usagi Drop,TV,Good,11,"Jul 8, 2011 to Sep 16, 2011","Fuji TV, Tohokushinsha Film Corporation, Sony Music Entertainment, Sakura Create, Fujipacific Music",Production I.G,Manga,"Josei, Slice of Life",8.44,374376,5605,1.497,0,27,18,3
128,Yuu☆Yuu☆Hakusho,TV,Good,112,"Oct 10, 1992 to Jan 7, 1995","Yomiko Advertising, Fuji TV",Studio Pierrot,Manga,"Action, Comedy, Demons, Supernatural, Martial Arts, Shounen",8.44,439235,16585,3.776,0,1,4,4
129,Haikyuu!!: To the Top,TV,Good,13,"Jan 11, 2020 to Apr 4, 2020","Dentsu, Mainichi Broadcasting System, Movic, Sony Music Entertainment, TOHO animation, Shueisha",Production I.G,Manga,"Comedy, Sports, Drama, School, Shounen",8.43,360954,3389,0.939,0,4,23,1
130,Kono Oto Tomare! 2nd Season,TV,Good,13,"Oct 6, 2019 to Dec 29, 2019","WOWOW, Movic, KlockWorx, Memory-Tech, King Records, Shueisha, Pony Canyon Enterprise",Platinum Vision,Manga,"Drama, Music, Romance, School, Shounen",8.43,69055,791,1.145,0,5,28,4
131,Baccano!,TV,Good,13,"Jul 27, 2007 to Nov 2, 2007","Aniplex, Sakura Create, Happinet Pictures",Brain's Base,Light novel,"Action, Comedy, Historical, Mystery, Supernatural",8.42,673750,21177,3.143,1,1,4,3
132,Barakamon,TV,Good,12,"Jul 6, 2014 to Sep 28, 2014","VAP, Nippon Television Network",Kinema Citrus,Web manga,"Comedy, Slice of Life",8.42,477194,10305,2.159,0,4,18,3
134,Houseki no Kuni (TV),TV,Good,12,"Oct 7, 2017 to Dec 23, 2017","Mainichi Broadcasting System, Kodansha, Movic, AT-X, TOHO animation, Tokyo MX, Q-Tec, Kyoraku Industrial Holdings, BS11",Orange,Manga,"Action, Drama, Fantasy, Mystery, Seinen",8.42,282358,8017,2.839,0,1,5,4
135,Hunter x Hunter,TV,Good,62,"Oct 16, 1999 to Mar 31, 2001",Fuji TV,Nippon Animation,Manga,"Action, Adventure, Super Power, Fantasy, Shounen",8.42,378445,8709,2.301,0,1,3,4
136,Kingdom 3rd Season,TV,Good,Unknown,"Apr 6, 2020 to ?","NHK, Shueisha",Studio Signpost,Manga,"Action, Historical, Military, Seinen",8.42,32707,330,1.009,0,1,11,2
137,Kiseijuu: Sei no Kakuritsu,TV,Good,24,"Oct 9, 2014 to Mar 26, 2015","VAP, Kodansha, Nippon Television Network, Forecast Communications",Madhouse,Manga,"Action, Sci-Fi, Horror, Psychological, Drama, Seinen",8.42,1134956,24510,2.16,0,1,10,4
139,Mononoke,TV,Good,12,"Jul 13, 2007 to Sep 28, 2007",Fuji TV,Toei Animation,Original,"Mystery, Historical, Horror, Demons, Psychological, Supernatural, Fantasy, Seinen",8.42,196639,5262,2.676,5,15,11,3
140,Bakuman. 2nd Season,TV,Good,25,"Oct 1, 2011 to Mar 24, 2012","NHK, Shueisha",J.C.Staff,Manga,"Comedy, Drama, Romance, Shounen",8.41,276799,1335,0.482,0,4,5,4
