,Anime Title,Type,Score_reference2,Episodes,Aired,Producers,Studios,Source,Genres,Score,Members,Favorites,Fav%,Source_reference,genre_reference_1,genre_reference_2,Season
9009,Z/X: Code Reunion,TV,Bad,12,"Oct 8, 2019 to Dec 24, 2019",Broccoli,Passione,Card game,"Sci-Fi, Fantasy, School, Shounen",5.69,10069,20,0.199,2,10,7,4
9014,"Sono Toki, Kanojo wa.",TV,Bad,12,"Oct 7, 2018 to Dec 23, 2018",,MASTER LIGHTS,Original,"Drama, Romance",5.68,12613,5,0.04,5,5,20,4
9026,Chaos Dragon: Sekiryuu Seneki,TV,Bad,12,"Jul 2, 2015 to Sep 17, 2015","Sotsu, TOHO animation","Silver Link.,       Connect",Game,"Action, Fantasy, Supernatural",5.68,94482,123,0.13,2,1,7,3
9029,Firestorm,TV,Bad,26,"Apr 6, 2003 to Sep 28, 2003","Madhouse, TV Tokyo",Trans Arts,Original,"Action, Military, Sci-Fi, Adventure, Mecha",5.68,1093,1,0.091,5,1,2,2
9035,Kandagawa Jet Girls,TV,Bad,12,"Oct 8, 2019 to Jan 7, 2020","Marvelous, AT-X, Egg Firm, Bandai Namco Arts, Legs",TNK,Original,"Sports, Ecchi",5.68,24063,26,0.108,5,23,35,4
9043,Endride,TV,Bad,24,"Apr 3, 2016 to Sep 25, 2016","VAP, Nippon Television Network, Nippon Television Music, Takara Tomy A.R.T.S, CyberAgent, Forecast Communications",Brain's Base,Original,"Adventure, Fantasy",5.67,59813,59,0.099,5,3,7,2
9045,Idol Jihen,TV,Bad,12,"Jan 8, 2017 to Mar 26, 2017","BS Fuji, MAGES., Docomo Anime Store, bilibili, Crunchyroll SC Anime Fund","MAPPA,       Studio VOLN",Original,Music,5.67,11654,14,0.12,5,28,0,1
9048,Misute♡naide Daisy,TV,Bad,12,"Jul 3, 1997 to Sep 18, 1997",,Studio Deen,Manga,"Sci-Fi, Comedy, Romance, Shounen",5.67,1233,3,0.243,0,10,4,3
9055,Shin Seiki Den Mars,TV,Bad,13,"Oct 31, 2002 to Feb 6, 2003",Plum,,Manga,"Mecha, Sci-Fi, Shounen",5.67,1025,1,0.098,0,22,10,4
9062,Seisen Cerberus: Ryuukoku no Fatalités,TV,Bad,13,"Apr 5, 2016 to Jun 28, 2016","TV Tokyo, Genco, Pony Canyon, Tohokushinsha Film Corporation, Children's Playground Entertainment, GREE",Bridge,Game,"Adventure, Fantasy",5.66,82322,98,0.119,2,3,7,2
